id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actors,directors,score
tm96649,the long riders,MOVIE,"The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",1980,R,99,"Western, Crime",Us,0.0,6.9,11329.0,8.808,6.6,"['David Carradine', 'Keith Carradine', 'Robert Carradine', 'James Keach', 'Stacy Keach', 'Dennis Quaid', 'Randy Quaid', 'Kevin Brophy', 'Harry Carey, Jr.', 'Christopher Guest', 'Nicholas Guest', 'Shelby Leverington', 'Felice Orlandi', 'Pamela Reed', 'James Remar', 'Fran Ryan', 'Savannah Smith Boucher', 'Amy Stryker', 'James Whitmore Jr.', 'John Bottoms', 'West Buchanan', 'Edward Bunker', 'Martina Deignan', 'Allan Graf', 'Chris Mulkey', 'Thomas Myers', 'Marlise Karlin', 'Glenn Robards', 'Tim Rossovich', 'Lin Shaye', 'Gary Watkins', 'Peter Jason', 'Duke Stroud', 'Steven Chambers', 'William Traylor', 'J. Don Ferguson', 'Hugh McGraw', 'Prentiss Rowe', 'Stuart Mossman', 'Michael Lackey', 'Mitch Greenhill', 'Bill Bryson', 'Tom Sauber', 'Jimmy Medearis', 'Edgar McLeod', 'Luis Contreras', 'Kalen Keach', 'R.B. Thrift', 'Ry Cooder', 'George D. Miklos', 'Bill Rampley']",['Walter Hill'],6.5761809481993705
ts41527,gypsy,SHOW,The journey of Jean Holloway – a therapist who begins to develop dangerous and intimate relationships with the people in her patients' lives.,2017,TV-MA,59,"Drama, Thriller",Us,1.0,6.8,16133.0,13.117,6.3,"['Naomi Watts', 'Billy Crudup', 'Sophie Cookson', 'Karl Glusman', 'Lucy Boynton', 'Poorna Jagannathan', 'Melanie Liburd', 'Brenda Vaccaro', 'Brooke Bloom']",[],6.5736767896674015
tm239676,hush,MOVIE,A deaf woman is stalked by a psychotic killer in her secluded home.,2016,R,82,"Horror, Thriller",Us,0.0,6.6,123667.0,12.617,6.7,"['Kate Siegel', 'John Gallagher Jr.', 'Samantha Sloyan', 'Michael Trucco', 'Emilia Graves']",['Mike Flanagan'],6.570644124710527
tm137342,tears of the sun,MOVIE,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",2003,R,121,"Drama, Thriller, War, Action",Us,0.0,6.6,121066.0,33.904,6.8,"['Bruce Willis', 'Monica Bellucci', 'Cole Hauser', 'Eamonn Walker', 'Johnny Messner', 'Nick Chinlund', 'Tom Skerritt', 'Akosua Busia', 'Chad Smith', 'Charles Ingram', 'Paul Francis', 'Malick Bowens', 'Awaovieyi Agie', 'Ida Onyango', 'Benjamin Ochieng', 'Kanayo Chiemelu', 'Hadar Busia-Singleton', 'Fabrice Yahve Habimana Jr.', 'Sammi Rotibi', 'Jimmy Jean-Louis', 'Fionnula Flanagan', ""Cornelia Hayes O'Herlihy"", 'Pierrino Mascarino', 'Peter Mensah', 'Howard Mungo', 'Cle Shaheed Sloan', 'Allison Dean', 'Rodney Charles', 'Jewel McDonald', 'Harry Van Gorkum', 'Michael Clossin']",['Antoine Fuqua'],6.570047436332327
tm54903,wild things,MOVIE,"When teen-socialite Kelly Van Ryan and troubled bad girl Suzie Toller accuse guidance counselor Sam Lombardo of rape, he's suspended by the school, rejected by the town, and fighting to get his life back. One cop suspects conspiracy, but nothing is what it seems...",1998,R,108,"Drama, Thriller, Crime, European",Us,0.0,6.6,118811.0,22.205,6.3,"['Kevin Bacon', 'Matt Dillon', 'Neve Campbell', 'Denise Richards', 'Theresa Russell', 'Bill Murray', 'Daphne Rubin-Vega', 'Robert Wagner', 'Carrie Snodgress', 'Jeff Perry', 'Eduardo Yáñez', 'Jennifer Taylor', 'Cory Pendergast', 'Marc Macaulay', 'Toi Svane Stepp', 'Dennis Neal', 'Diane Adams', 'Paulo Benedeti', 'Ted Bartsch', 'Leonor Anthony', 'Antoni Corone', 'Robert Deacon', 'Anthony Giaimo', 'Manny Suarez', 'Janet Bushor', 'Gina LaMarca', 'Nancy Duerr', 'Margo Peace', 'Keith Wilson', 'Nelson Oramas', 'Michael Dean Walker', 'Jesse Muson', 'Kimberly Lamaze', 'Rebecca White', 'Victoria Bass', 'Laurie Wallace']",['John McNaughton'],6.569510139630654
tm27268,monster house,MOVIE,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",2006,PG,91,"Fantasy, Animation, Comedy, Family",Us,0.0,6.6,114942.0,47.456,6.6,"['Mitchel Musso', 'Sam Lerner', 'Spencer Locke', 'Steve Buscemi', 'Maggie Gyllenhaal', 'Kevin James', 'Nick Cannon', 'Jon Heder', 'Jason Lee', ""Catherine O'Hara"", 'Fred Willard', 'Kathleen Turner', 'Ryan Whitney Newman', 'Woody Schultz', 'Ian McConnel', 'Erik Walker', 'Matthew Fahey']",['Gil Kenan'],6.568541941421782
ts83657,the order,SHOW,"Out to avenge his mother's death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic.",2019,TV-MA,48,"Scifi, Horror, Drama, Fantasy, Crime, Thriller",Us,2.0,6.7,27286.0,44.535,7.9,"['Jake Manley', 'Sarah Grey', 'Adam DiMarco']",[],6.567696879909605
ts36983,fuller house,SHOW,"D.J. Tanner-Fuller is a widow and mother of three. Things become too much to handle, so she asks for help from her sister Stephanie and her best-friend Kimmy.",2016,TV-Y7,27,"Comedy, Family",Us,5.0,6.7,27148.0,33.47,7.6,"['Jodie Sweetin', 'Candace Cameron Bure', 'Andrea Barber', 'Elias Harger', 'Soni Bringas', 'Michael Campion', 'Juan Pablo Di Pace']",[],6.567160610433823
tm132273,home,MOVIE,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",2015,PG,95,"Fantasy, Scifi, Comedy, Family, Animation",Us,0.0,6.6,100705.0,37.237,6.8,"['Jim Parsons', 'Rihanna', 'Steve Martin', 'Jennifer Lopez', 'Matt Jones', 'Brian Stepanek', 'April Lawrence', 'Lisa Stewart', 'Stephen Kearin', 'April Winchell']",['Tim Johnson'],6.5643797119302425
tm151927,mary kom,MOVIE,A chronicle of the life of Indian boxer 'Mary Kom' who went through several hardships before audaciously accomplishing her ultimate dream.,2014,PG-13,122,"Drama, Sport, Action",In,0.0,6.9,10656.0,3.899,7.1,"['Priyanka Chopra Jonas', 'Darshan Kumaar', 'Shishir Sharma', 'Sunil Thapa', 'Robin Das', 'Zachary Coffin', 'Shiva Dagar', 'Lin Laishram']",['Omung Kumar'],6.563766101334734
tm116324,jackass: the movie,MOVIE,"Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time. They wander around Japan in panda outfits, wreak havoc on a once civilized golf course, they even do stunts involving LIVE alligators, and so on.",2002,R,88,"Action, Comedy, Documentation",Us,0.0,6.6,92305.0,30.13,6.3,"['Johnny Knoxville', 'Bam Margera', 'Steve-O', 'Chris Pontius', 'Ryan Dunn', 'Jason Acuña', 'Preston Lacy', 'Dave England', 'Ehren McGhehey', 'Brandon DiCamillo', 'April Margera', 'Phil Margera', 'Jess Margera', 'Chris Raab', 'Rake Yohn', 'Loomis Fall', 'Rick Kosick', 'Manny Puig', 'Stephanie Hodge', ""Jason 'J2' Rasmus"", 'Dorothy Barnett', 'Tony Hawk', 'Mat Hoffman', 'Eric Esch', 'Henry Rollins', 'Eric Koston', 'Clyde Singleton', 'Rip Taylor', 'Spike Jonze', 'Jeff Tremaine', 'Trip Taylor', 'Michelle Klepper', 'Greg Iguchi', 'Dimitry Elyashkevich', 'Sean Cliver', 'Mike Kassak', 'Jack Polick', 'Jason Fijal', 'Gene LeBell', 'Cory Nastazio', 'Scott Silveira', 'David A. Kipper', 'Lance Bangs', 'Brad Bartlett', 'Naoko Kumagai']",['Jeff Tremaine'],6.5613635690738175
tm29731,chup chup ke,MOVIE,"A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.",2006,G,165,"Comedy, Drama, Romance",In,0.0,6.9,10528.0,4.791,6.1,"['Shahid Kapoor', 'Kareena Kapoor Khan', 'Neha Dhupia', 'Suniel Shetty', 'Rajpal Yadav', 'Paresh Rawal', 'Sushma Reddy', 'Shakti Kapoor', 'Anupam Kher', 'Om Puri', 'Amita Nangia', 'Manoj Joshi']",['Priyadarshan'],6.5612963470004555
